"Date","GDP_Billions","Per_Capita","Year"
1995-12-31,3.67e+08,7.9486,"1995"
1996-12-31,2.82e+08,5.8016,"1996"
1997-12-31,3.51e+08,6.3657,"1997"
1998-12-31,3.69e+08,6.4459,"1998"
1999-12-31,4.14e+08,7.4454,"1999"
2000-12-31,3.88e+08,6.0832,"2000"
2001-12-31,3.47e+08,5.6219,"2001"
2002-12-31,5.94e+08,9.954,"2002"
2003-12-31,7.09e+08,10.8345,"2003"
2004-12-31,8.08e+08,11.093,"2004"
2005-12-31,7.29e+08,9.2432,"2005"
2006-12-31,7.33e+08,8.6159,"2006"
2007-12-31,7.5e+08,7.9661,"2007"
2008-12-31,8.03e+08,7.9403,"2008"
2009-12-31,7.54e+08,8.3993,"2009"
2010-12-31,1.044e+09,9.4054,"2010"
2011-12-31,1.421e+09,10.4158,"2011"
2012-12-31,1.756e+09,12.937,"2012"
2013-12-31,2.506e+09,16.6188,"2013"
2014-12-31,3.278e+09,19.5877,"2014"
2015-12-31,3.978e+09,23.4785,"2015"
2016-12-31,4.591e+09,26.3127,"2016"
2017-12-31,5.083e+09,26.6346,"2017"
2018-12-31,5.608e+09,27.675,"2018"
2019-12-31,4.663e+09,24.0184,"2019"
2020-12-31,1.076e+09,8.2245,"2020"
