Event,Total_Deaths,Total_Injured,Total_Missing,Total_Losses
ACCIDENT,11,51,0,0
ANIMAL ATTACK,958,589,1,0
BOAT CAPSIZE,29,10,10,0
COASTLINE,0,1,0,0
CUTTING FAILURE,12,23,0,0
CYCLONE,846,588,21,0
CYCLONE & FLOOD,9,12,0,0
Chemical,1,1,0,0
DROUGHT,2,0,1,0
Drowning  ,21,2,2,0
EARTH SLIP,10,10,7,0
EPIDEMIC,368,0,0,0
FIRE,94,351,0,0
FLASH FLOOD,5,4,2,0
FLOOD,540,312,16,0
FOREST FIRE,1,0,0,0
FROST,0,0,0,0
GALE,24,121,1,0
GROUND VIBRATIO,0,0,0,0
HAILSTORM,1,1,0,0
LAND SUBSIDENCE,17,8,0,0
LANDSLIDE,878,297,39,0
LEAK OR SPILL,0,0,2,0
LIGHTNING,461,417,3,0
PLAGUE,0,0,0,0
RAINS,26,185,1,0
RETAINING WF,1,0,0,0
ROCK FALL,1,3,0,0
SEDIMENTATION,0,0,0,0
SNAKE BITE,125,1,0,0
STORM,0,0,0,0
STRONG WIND,143,367,44,0
STRUCTURE,35,86,0,0
SURGE,3,0,0,0
Subsidence,0,0,0,0
TIDAL WAVE,2,0,0,0
TORNADO,0,0,0,0
TSUNAMI,30959,19611,1908,0
Tree fallen,0,0,0,0
URBAN FLOOD,0,0,0,0
