DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.

Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
1995-12-31,367000000,7.9486,
1996-12-31,282000000,5.8016,
1997-12-31,351000000,6.3657,
1998-12-31,369000000,6.4459,
1999-12-31,414000000,7.4454,
2000-12-31,388000000,6.0832,
2001-12-31,347000000,5.6219,
2002-12-31,594000000,9.954,
2003-12-31,709000000,10.8345,
2004-12-31,808000000,11.093,
2005-12-31,729000000,9.2432,
2006-12-31,733000000,8.6159,
2007-12-31,750000000,7.9661,
2008-12-31,803000000,7.9403,
2009-12-31,754000000,8.3993,
2010-12-31,1044000000,9.4054,
2011-12-31,1421000000,10.4158,
2012-12-31,1756000000,12.937,
2013-12-31,2506000000,16.6188,
2014-12-31,3278000000,19.5877,
2015-12-31,3978000000,23.4785,
2016-12-31,4591000000,26.3127,
2017-12-31,5083000000,26.6346,
2018-12-31,5608000000,27.675,
2019-12-31,4663000000,24.0184,
2020-12-31,1076000000,8.2245,
